0             // a+b
2             // a*b
3             // a>>1
6             // |b-a|
5             // a^b
1             // b-a
7             // 
4             // ~(b-a)
3             // 
0             // 
2             // 
4             // 
6             // 
5             // a^b
3             // 
4             // 
5             // 
6             // 
2             // a*b
2             // 
4             // 
6             // 
3             // a>>1
2             // 
3             // 
4             // 
5             // 
6             // |b-a|
0             // 
2             // 
3             // 
4             // 
6             // 
7             // 
1             // b-a
2             // a*b
7             // 
2             // a*b
5             // a^b
2             // a*b
1             // b-a
5             // a^b
0             // a+b
5             // a^b
7             // 
1             // b-a
4             // ~(b-a)
7             // 
0             // a+b
4             // ~(b-a)
1             // b-a
3             // a>>1
7             // 
3             // a>>1
1             // b-a
0             // a+b
3             // a>>1
0             // a+b
7             // 
7             // 
6             // |b-a|
1             // b-a
1             // b-a
0             // a+b
0             // a+b
1             // b-a
6             // |b-a|
1             // b-a
0             // a+b
6             // |b-a|
1             // b-a
2             // a*b
0             // a+b
4             // ~(b-a)
5             // a^b
7             // 
5             // a^b
7             // 
4             // ~(b-a)
0             // a+b     
